10:31:02.444 +01:00 [Information] [] Starting Application, please wait .......
10:38:33.358 +01:00 [Information] [] Starting Application, please wait .......
10:40:11.867 +01:00 [Information] [] Starting Application, please wait .......
10:40:48.759 +01:00 [Information] [] Starting Application, please wait .......
10:44:07.174 +01:00 [Information] [] Starting Application, please wait .......
11:10:27.834 +01:00 [Information] [] Starting Application, please wait .......
13:02:14.091 +01:00 [Information] [] Starting Application, please wait .......
13:03:50.701 +01:00 [Information] [] Starting Application, please wait .......
13:06:37.334 +01:00 [Information] [] Starting Application, please wait .......
13:09:24.436 +01:00 [Information] [] Starting Application, please wait .......
13:12:18.472 +01:00 [Information] [] Starting Application, please wait .......
13:13:09.697 +01:00 [Information] [] Starting Application, please wait .......
13:31:00.791 +01:00 [Information] [] Starting Application, please wait .......
13:31:38.655 +01:00 [Information] [] Starting Application, please wait .......
13:32:04.109 +01:00 [Information] [] Starting Application, please wait .......
13:33:30.500 +01:00 [Information] [] Starting Application, please wait .......
13:34:36.983 +01:00 [Information] [] Starting Application, please wait .......
13:36:41.730 +01:00 [Information] [] Starting Application, please wait .......
